Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36
SRR3667011_1	(14.0, 1.0)	(15.0, 1.0)	(16.0, 2.0)	(17.0, 0.0)	(18.0, 2.0)	(19.0, 15.0)	(20.0, 35.0)	(21.0, 63.0)	(22.0, 128.0)	(23.0, 223.0)	(24.0, 368.0)	(25.0, 671.0)	(26.0, 1065.0)	(27.0, 1634.0)	(28.0, 1290.0)	(29.0, 1505.0)	(30.0, 2028.0)	(31.0, 2323.0)	(32.0, 2987.0)	(33.0, 3851.0)	(34.0, 5311.0)	(35.0, 8344.0)	(36.0, 20148.0)	(37.0, 106636.0)	(38.0, 14051.0)												
SRR3667011_2	(2.0, 3.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 10.0)	(16.0, 102.0)	(17.0, 187.0)	(18.0, 208.0)	(19.0, 152.0)	(20.0, 205.0)	(21.0, 356.0)	(22.0, 597.0)	(23.0, 936.0)	(24.0, 1380.0)	(25.0, 1311.0)	(26.0, 1250.0)	(27.0, 1173.0)	(28.0, 1071.0)	(29.0, 1405.0)	(30.0, 1659.0)	(31.0, 2231.0)	(32.0, 2862.0)	(33.0, 3848.0)	(34.0, 5631.0)	(35.0, 9298.0)	(36.0, 17547.0)	(37.0, 81122.0)	(38.0, 38138.0)
SRR3667012_1	(13.0, 1.0)	(14.0, 1.0)	(15.0, 2.0)	(16.0, 2.0)	(17.0, 2.0)	(18.0, 5.0)	(19.0, 12.0)	(20.0, 40.0)	(21.0, 58.0)	(22.0, 108.0)	(23.0, 191.0)	(24.0, 340.0)	(25.0, 441.0)	(26.0, 683.0)	(27.0, 795.0)	(28.0, 1010.0)	(29.0, 1247.0)	(30.0, 1619.0)	(31.0, 1979.0)	(32.0, 2474.0)	(33.0, 3308.0)	(34.0, 4670.0)	(35.0, 7589.0)	(36.0, 17983.0)	(37.0, 115133.0)	(38.0, 18568.0)											
SRR3667012_2	(13.0, 2.0)	(14.0, 4.0)	(15.0, 14.0)	(16.0, 69.0)	(17.0, 167.0)	(18.0, 186.0)	(19.0, 186.0)	(20.0, 224.0)	(21.0, 276.0)	(22.0, 404.0)	(23.0, 430.0)	(24.0, 571.0)	(25.0, 665.0)	(26.0, 884.0)	(27.0, 1038.0)	(28.0, 1190.0)	(29.0, 1504.0)	(30.0, 1849.0)	(31.0, 2260.0)	(32.0, 3000.0)	(33.0, 3836.0)	(34.0, 5474.0)	(35.0, 8455.0)	(36.0, 17729.0)	(37.0, 89793.0)	(38.0, 38051.0)											
SRR3667013_1	(17.0, 1.0)	(18.0, 2.0)	(19.0, 6.0)	(20.0, 32.0)	(21.0, 64.0)	(22.0, 114.0)	(23.0, 151.0)	(24.0, 255.0)	(25.0, 378.0)	(26.0, 555.0)	(27.0, 813.0)	(28.0, 1026.0)	(29.0, 1262.0)	(30.0, 1710.0)	(31.0, 2118.0)	(32.0, 2792.0)	(33.0, 3730.0)	(34.0, 5425.0)	(35.0, 8704.0)	(36.0, 20150.0)	(37.0, 136072.0)	(38.0, 46349.0)															
SRR3667013_2	(14.0, 1.0)	(15.0, 10.0)	(16.0, 95.0)	(17.0, 294.0)	(18.0, 308.0)	(19.0, 226.0)	(20.0, 177.0)	(21.0, 186.0)	(22.0, 218.0)	(23.0, 287.0)	(24.0, 340.0)	(25.0, 436.0)	(26.0, 547.0)	(27.0, 642.0)	(28.0, 820.0)	(29.0, 1032.0)	(30.0, 1363.0)	(31.0, 1715.0)	(32.0, 2331.0)	(33.0, 3335.0)	(34.0, 4863.0)	(35.0, 7783.0)	(36.0, 15440.0)	(37.0, 88204.0)	(38.0, 101056.0)												
SRR3667014_1	(17.0, 1.0)	(18.0, 0.0)	(19.0, 6.0)	(20.0, 26.0)	(21.0, 64.0)	(22.0, 124.0)	(23.0, 216.0)	(24.0, 381.0)	(25.0, 593.0)	(26.0, 832.0)	(27.0, 1170.0)	(28.0, 1289.0)	(29.0, 1728.0)	(30.0, 2150.0)	(31.0, 2795.0)	(32.0, 3568.0)	(33.0, 4574.0)	(34.0, 6380.0)	(35.0, 9879.0)	(36.0, 22558.0)	(37.0, 127688.0)	(38.0, 22529.0)															
SRR3667014_2	(14.0, 1.0)	(15.0, 30.0)	(16.0, 189.0)	(17.0, 405.0)	(18.0, 335.0)	(19.0, 268.0)	(20.0, 238.0)	(21.0, 426.0)	(22.0, 585.0)	(23.0, 949.0)	(24.0, 1536.0)	(25.0, 1989.0)	(26.0, 1814.0)	(27.0, 1569.0)	(28.0, 1638.0)	(29.0, 1940.0)	(30.0, 2242.0)	(31.0, 2991.0)	(32.0, 3931.0)	(33.0, 5112.0)	(34.0, 7097.0)	(35.0, 10911.0)	(36.0, 20827.0)	(37.0, 92131.0)	(38.0, 49397.0)												
SRR3667015_1	(2.0, 248.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 3.0)	(18.0, 2.0)	(19.0, 6.0)	(20.0, 27.0)	(21.0, 63.0)	(22.0, 107.0)	(23.0, 181.0)	(24.0, 263.0)	(25.0, 402.0)	(26.0, 536.0)	(27.0, 683.0)	(28.0, 858.0)	(29.0, 1063.0)	(30.0, 1319.0)	(31.0, 1682.0)	(32.0, 2099.0)	(33.0, 2765.0)	(34.0, 3958.0)	(35.0, 6375.0)	(36.0, 16268.0)	(37.0, 93409.0)	(38.0, 21064.0)
SRR3667015_2	(2.0, 244.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 2.0)	(14.0, 1.0)	(15.0, 36.0)	(16.0, 116.0)	(17.0, 154.0)	(18.0, 115.0)	(19.0, 97.0)	(20.0, 126.0)	(21.0, 182.0)	(22.0, 239.0)	(23.0, 285.0)	(24.0, 343.0)	(25.0, 468.0)	(26.0, 529.0)	(27.0, 617.0)	(28.0, 820.0)	(29.0, 1061.0)	(30.0, 1301.0)	(31.0, 1719.0)	(32.0, 2090.0)	(33.0, 2867.0)	(34.0, 3962.0)	(35.0, 6435.0)	(36.0, 13017.0)	(37.0, 80216.0)	(38.0, 36339.0)
SRR3667016_1	(18.0, 3.0)	(19.0, 14.0)	(20.0, 22.0)	(21.0, 68.0)	(22.0, 141.0)	(23.0, 211.0)	(24.0, 359.0)	(25.0, 605.0)	(26.0, 863.0)	(27.0, 1312.0)	(28.0, 1494.0)	(29.0, 1921.0)	(30.0, 2453.0)	(31.0, 3111.0)	(32.0, 3886.0)	(33.0, 5196.0)	(34.0, 7100.0)	(35.0, 10287.0)	(36.0, 21928.0)	(37.0, 129407.0)	(38.0, 39524.0)																
SRR3667016_2	(14.0, 1.0)	(15.0, 20.0)	(16.0, 119.0)	(17.0, 324.0)	(18.0, 243.0)	(19.0, 199.0)	(20.0, 296.0)	(21.0, 384.0)	(22.0, 545.0)	(23.0, 971.0)	(24.0, 1867.0)	(25.0, 2680.0)	(26.0, 2229.0)	(27.0, 1559.0)	(28.0, 1429.0)	(29.0, 1623.0)	(30.0, 2026.0)	(31.0, 2616.0)	(32.0, 3369.0)	(33.0, 4734.0)	(34.0, 6372.0)	(35.0, 9935.0)	(36.0, 18294.0)	(37.0, 82242.0)	(38.0, 85828.0)												
SRR3667017_1	(15.0, 1.0)	(16.0, 5.0)	(17.0, 3.0)	(18.0, 6.0)	(19.0, 5.0)	(20.0, 22.0)	(21.0, 61.0)	(22.0, 88.0)	(23.0, 132.0)	(24.0, 218.0)	(25.0, 298.0)	(26.0, 507.0)	(27.0, 642.0)	(28.0, 788.0)	(29.0, 988.0)	(30.0, 1325.0)	(31.0, 1663.0)	(32.0, 2147.0)	(33.0, 2948.0)	(34.0, 3891.0)	(35.0, 5937.0)	(36.0, 11818.0)	(37.0, 75267.0)	(38.0, 23420.0)													
SRR3667017_2	(14.0, 4.0)	(15.0, 18.0)	(16.0, 103.0)	(17.0, 272.0)	(18.0, 203.0)	(19.0, 196.0)	(20.0, 250.0)	(21.0, 391.0)	(22.0, 454.0)	(23.0, 674.0)	(24.0, 990.0)	(25.0, 1331.0)	(26.0, 1298.0)	(27.0, 1312.0)	(28.0, 1387.0)	(29.0, 1594.0)	(30.0, 1881.0)	(31.0, 2409.0)	(32.0, 2782.0)	(33.0, 3603.0)	(34.0, 4872.0)	(35.0, 7255.0)	(36.0, 13410.0)	(37.0, 56133.0)	(38.0, 29358.0)												
