Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR3667017_1	(1.0, 14.503707066121954)	(2.0, 8.396126494174611)	(3.0, 7.142532909668634)	(4.0, 6.600090785292783)	(5.0, 5.515206536541081)	(6.0, 5.011348161597821)	(7.0, 4.432591920108942)	(8.0, 3.9279770010591615)	(9.0, 3.3227417158420334)	('>10', 36.696171886821)	('>50', 1.9064911484339537)	('>100', 1.5539415947949764)	('>500', 0.9910727795430474)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR3667017_2	(1.0, 5.551520653654108)	(2.0, 1.3042820396429111)	(3.0, 0.7875624148887881)	(4.0, 0.5779996973823573)	(5.0, 0.45770918444545317)	(6.0, 0.32228778937812075)	(7.0, 0.2436072022998941)	(8.0, 0.32077470116507795)	(9.0, 0.19064911484339536)	('>10', 3.649568769859283)	('>50', 2.1145407777273415)	('>100', 10.923740354062641)	('>500', 17.442880919957634)	('>1k', 56.112876380693)	('>5k', 0.0)	('>10k+', 0.0)
SRR3667018_1	(1.0, 30.35614077280744)	(2.0, 15.127465127465129)	(3.0, 10.48881673881674)	(4.0, 7.138848805515472)	(5.0, 5.095598845598846)	(6.0, 3.505291005291005)	(7.0, 2.76374859708193)	(8.0, 2.3248356581689915)	(9.0, 2.317821067821068)	('>10', 18.159772326438993)	('>50', 1.4680535513868846)	('>100', 0.7315215648548982)	('>500', 0.5220859387526054)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR3667018_2	(1.0, 5.379188712522046)	(2.0, 0.9820426487093155)	(3.0, 0.6613756613756614)	(4.0, 0.6052589385922719)	(5.0, 0.49102132435465773)	(6.0, 0.42087542087542085)	(7.0, 0.4629629629629629)	(8.0, 0.33670033670033667)	(9.0, 0.2795815295815296)	('>10', 6.9093714927048255)	('>50', 4.399150232483566)	('>100', 31.762065095398427)	('>500', 14.046216129549464)	('>1k', 33.26418951418951)	('>5k', 0.0)	('>10k+', 0.0)
SRR3667019_1	(1.0, 14.810338380652741)	(2.0, 7.274485290507288)	(3.0, 5.557842733635241)	(4.0, 4.706131190016657)	(5.0, 3.869527611695076)	(6.0, 3.3902274126476333)	(7.0, 3.0510535917298998)	(8.0, 2.619721182500444)	(9.0, 2.226536385645922)	('>10', 32.78768398668988)	('>50', 8.127329931523148)	('>100', 6.913027220776474)	('>500', 1.253205721386458)	('>1k', 3.4128893605931387)	('>5k', 0.0)	('>10k+', 0.0)
SRR3667019_2	(1.0, 5.463040251396543)	(2.0, 1.241874747413705)	(3.0, 0.7342471134343804)	(4.0, 0.48496568603381923)	(5.0, 0.34937169749321084)	(6.0, 0.2764757649351679)	(7.0, 0.23266266557385715)	(8.0, 0.21755470027685345)	(9.0, 0.21415540808502764)	('>10', 4.997337221116403)	('>50', 3.6927644177201326)	('>100', 20.05355773697788)	('>500', 14.06589339064288)	('>1k', 23.22849664414321)	('>5k', 20.85692379164605)	('>10k+', 3.890678763110881)
SRR3667020_1	(1.0, 25.179732035873787)	(2.0, 15.478740786463819)	(3.0, 10.857448894375658)	(4.0, 7.788388221197487)	(5.0, 5.523583021676773)	(6.0, 4.863657819251298)	(7.0, 4.073018408917614)	(8.0, 3.1807123924331)	(9.0, 2.818525108020769)	('>10', 17.682727569805017)	('>50', 0.8378417631894267)	('>100', 1.7156239787952505)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR3667020_2	(1.0, 8.569042518427072)	(2.0, 1.390653934134563)	(3.0, 0.6454014015467847)	(4.0, 0.42119022548200863)	(5.0, 0.3585563341926582)	(6.0, 0.27776769180494537)	(7.0, 0.2223957009549399)	(8.0, 0.23238081405903924)	(9.0, 0.22874986383936677)	('>10', 4.812824516175883)	('>50', 4.663047819614393)	('>100', 30.080607094876726)	('>500', 18.97262263534367)	('>1k', 29.12475944954795)	('>5k', 0.0)	('>10k+', 0.0)
SRR3667021_1	(1.0, 20.437211619438482)	(2.0, 9.111936138161719)	(3.0, 6.156072449500042)	(4.0, 4.414817274959375)	(5.0, 3.5198737945840795)	(6.0, 2.7008433463413475)	(7.0, 2.1338678876012667)	(8.0, 1.8171682066732298)	(9.0, 1.45183673953527)	('>10', 26.22913874292763)	('>50', 10.82946849016096)	('>100', 7.042712941985838)	('>500', 0.6677974545411413)	('>1k', 3.4872549135896187)	('>5k', 0.0)	('>10k+', 0.0)
SRR3667021_2	(1.0, 4.295017021125173)	(2.0, 0.8836751396681177)	(3.0, 0.6049319748063625)	(4.0, 0.47208416857437696)	(5.0, 0.45073362828709357)	(6.0, 0.39854341869595644)	(7.0, 0.34457399741421235)	(8.0, 0.29890756402196733)	(9.0, 0.3522839147401758)	('>10', 7.102019998339403)	('>50', 5.317470672660633)	('>100', 20.283606343482745)	('>500', 8.383052415576406)	('>1k', 20.204727958532505)	('>5k', 30.608371784074865)	('>10k+', 0.0)
SRR3667022_1	(1.0, 19.38412847764258)	(2.0, 9.865064260205719)	(3.0, 7.01452002651669)	(4.0, 5.541132946988004)	(5.0, 4.377392382866796)	(6.0, 3.818403438616)	(7.0, 3.263263691379937)	(8.0, 2.8261659859290464)	(9.0, 2.409597331223403)	('>10', 26.225434638496246)	('>50', 5.957701601693647)	('>100', 5.359365310181126)	('>500', 1.9844749053739068)	('>1k', 1.973355002886898)	('>5k', 0.0)	('>10k+', 0.0)
SRR3667022_2	(1.0, 4.466351602762868)	(2.0, 0.9537454825396147)	(3.0, 0.5093770716164489)	(4.0, 0.37978743878707527)	(5.0, 0.26944379103137095)	(6.0, 0.2591792656587473)	(7.0, 0.21854885272544533)	(8.0, 0.21213352436755556)	(9.0, 0.20785663879562905)	('>10', 6.103971088253534)	('>50', 4.783696512199817)	('>100', 21.396830827791202)	('>500', 12.285353805358938)	('>1k', 35.59865705793042)	('>5k', 12.355067040181341)	('>10k+', 0.0)
SRR3667023_1	(1.0, 23.132987006301665)	(2.0, 11.415064796901074)	(3.0, 8.39978894355956)	(4.0, 6.396897641916152)	(5.0, 5.11554482161012)	(6.0, 4.187668641388511)	(7.0, 3.57337428629034)	(8.0, 2.9547901661426)	(9.0, 2.393688897659075)	('>10', 20.82595136264387)	('>50', 3.150403452402912)	('>100', 5.233942336978203)	('>500', 1.912806235602476)	('>1k', 1.3070914106034413)	('>5k', 0.0)	('>10k+', 0.0)
SRR3667023_2	(1.0, 5.6376092281425745)	(2.0, 1.1436513622148914)	(3.0, 0.6498994050095876)	(4.0, 0.4615787193335421)	(5.0, 0.4161072098081188)	(6.0, 0.3448971099852861)	(7.0, 0.31529773114326526)	(8.0, 0.2814085872516762)	(9.0, 0.2509512553997418)	('>10', 7.085404932371854)	('>50', 4.636378065573349)	('>100', 23.484318763861303)	('>500', 18.952181988992464)	('>1k', 36.340315640912344)	('>5k', 0.0)	('>10k+', 0.0)
SRR3667024_1	(1.0, 9.87215318593749)	(2.0, 4.6968834541024185)	(3.0, 4.261347284134588)	(4.0, 3.9780249298089654)	(5.0, 3.7094123139697746)	(6.0, 3.7222033909144985)	(7.0, 3.1338138514572234)	(8.0, 2.8038040662833605)	(9.0, 2.722580727684367)	('>10', 46.3343971245659)	('>50', 9.651507108641013)	('>100', 3.344866621045159)	('>500', 0.8346177706431992)	('>1k', 0.9343881708120415)	('>5k', 0.0)	('>10k+', 0.0)
