	SRR3666998	SRR3666999	SRR3667000	SRR3667001	SRR3667002	SRR3667003	SRR3667004	SRR3667005	SRR3667006	SRR3667007	SRR3667010	SRR3667011	SRR3667012	SRR3667013	SRR3667014	SRR3667015	SRR3667016	SRR3667017	SRR3667018	SRR3667020	SRR3667021	SRR3667022	SRR3667023	SRR3667024	SRR3667025	SRR3667026	SRR3667027	SRR3667028	SRR3667029	SRR3667031	SRR3667032	SRR3667033	SRR3667034	SRR3667035	SRR3667036	SRR3667037	SRR3667038	SRR3667039	SRR3667040	SRR3667042	SRR3667043	SRR3667044	SRR3667045
ASV_0066	391	54	2476	1629	0	0	267	19	0	22	0	313	0	27	0	0	20	0	147	81	318	202	181	0	5092	158	1020	1477	29	0	393	122	245	0	0	0	0	313	292	630	283	8	122
ASV_0067	314	172	3341	2212	427	480	554	0	0	0	1278	114	229	0	128	0	40	0	429	440	250	402	367	0	392	58	0	0	0	0	288	0	0	0	3688	0	0	41	140	338	0	11	27
ASV_0068	411	16	0	12	0	0	341	0	0	0	3180	276	2414	2668	543	0	264	0	0	0	634	683	582	0	0	9	1391	1094	35	0	378	0	0	12	0	0	4	0	279	830	0	0	17
ASV_0069	748	245	0	0	0	0	140	0	0	0	0	345	0	0	0	0	14	0	7314	3821	82	0	1873	0	0	0	0	0	0	0	287	0	0	0	0	0	0	0	296	683	0	0	0
ASV_0070	98	0	0	0	0	0	120	0	0	0	0	48	0	0	102	0	0	0	0	0	101	72	83	6908	0	0	449	1504	72	0	59	0	0	0	0	62	5858	0	87	224	0	0	0
ASV_0071	356	0	0	0	0	0	376	62	0	0	0	63	0	0	311	0	54	7	0	0	302	279	185	0	0	0	2261	4355	25	45	173	0	0	32	122	7	0	1574	117	659	4406	0	0
ASV_0072	1597	1367	25	0	100	0	200	0	0	0	164	1016	311	25	407	7030	54	0	0	0	206	268	39	0	0	0	0	0	0	0	1002	0	0	283	0	0	0	0	1185	288	0	0	29
ASV_0073	423	0	1604	1081	0	0	166	0	0	0	0	168	0	0	357	0	55	31	2562	1497	194	242	423	0	0	0	0	0	0	3157	197	20	0	0	0	0	0	2806	132	369	0	0	0
ASV_0074	261	6374	127	49	55	12	505	18	0	105	2409	176	458	97	618	5	128	55	80	24	371	0	613	5	35	0	0	15	9	409	377	23	85	448	242	0	0	22	158	658	41	0	256
ASV_0075	1424	0	0	0	0	0	2885	0	0	0	0	553	53	0	1904	0	658	0	20	0	661	4664	1106	0	0	0	0	0	0	100	481	0	0	0	0	6	0	0	204	556	0	0	0
ASV_0076	323	0	2573	2373	305	145	289	0	0	0	1012	223	0	0	141	0	0	0	397	460	92	351	524	0	0	0	0	0	0	0	468	1036	1713	15	0	0	0	0	180	476	2031	0	0
ASV_0077	509	2257	154	103	52	26	1034	55	9	199	1580	193	485	384	1060	11	208	59	129	29	402	864	585	7	97	7	0	19	23	234	440	5	11	336	811	90	44	39	195	1394	31	0	795
ASV_0078	800	0	0	7	0	24	792	0	300	284	107	264	304	546	726	0	946	1016	0	0	485	1020	384	106	142	130	20	27	1283	0	424	0	0	103	54	1845	153	0	279	693	304	396	671
ASV_0079	401	143	1420	1786	291	447	351	23	3	0	3293	183	0	44	935	370	203	0	91	228	504	471	517	0	52	75	281	264	10	0	358	0	0	0	0	0	12	413	163	616	473	36	61
ASV_0080	104	495	0	0	9668	2679	282	13	17	0	0	91	0	0	107	0	38	19	0	0	129	179	47	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0	110	30	0	0	0
ASV_0081	547	90	1464	1016	205	197	191	0	0	0	105	206	549	586	499	0	91	0	893	1105	281	627	854	87	911	209	196	211	660	0	349	21	26	0	0	1038	160	18	224	394	0	20	77
ASV_0082	1292	0	35	12	84	0	655	0	0	78	530	671	0	36	318	5879	125	45	0	0	262	480	353	0	0	0	0	0	0	0	1068	0	18	326	0	0	0	0	830	893	3	0	16
ASV_0083	353	0	0	0	0	0	512	0	0	0	3803	247	5516	0	807	0	154	0	0	0	204	448	492	0	0	0	0	0	0	0	422	0	0	0	0	0	0	0	188	758	7	0	0
ASV_0084	476	250	0	0	0	0	906	0	0	0	0	229	0	0	1050	0	388	0	0	0	791	1394	430	120	0	121	0	0	1964	0	286	0	349	3658	0	171	0	0	221	795	0	0	0
ASV_0085	414	0	1718	1204	0	0	211	0	0	30	83	246	0	11	107	10	1008	1728	127	73	44	186	68	0	4929	202	0	0	36	0	238	24	52	0	190	35	9	10	217	115	31	48	47
ASV_0086	296	311	4389	2482	126	164	36	19	0	0	0	158	280	505	58	0	0	0	570	624	71	157	505	0	0	0	244	102	0	0	257	126	213	0	0	0	0	144	134	0	468	85	145
ASV_0087	639	144	918	815	21	0	54	22	641	1366	0	384	68	0	224	130	58	24	493	306	61	106	253	6	2210	168	467	588	47	0	323	0	0	56	1216	32	18	224	335	218	0	0	0
ASV_0088	69	0	0	16	8664	2594	125	14	5	3	0	53	0	0	0	41	43	0	0	0	0	113	67	0	0	0	0	0	0	152	151	0	0	0	0	0	0	16	61	373	0	0	0
ASV_0089	159	84	726	669	279	129	72	0	2015	4686	337	151	392	221	331	2	20	0	63	50	16	97	87	0	72	16	16	48	0	0	179	7	0	17	0	0	0	547	131	400	261	138	136
ASV_0090	1504	89	0	0	61	33	277	10	0	0	279	814	137	0	329	5951	67	21	0	14	59	64	250	0	0	5	0	0	0	0	781	0	27	0	0	0	0	0	846	783	14	0	24
ASV_0091	406	132	394	258	0	0	98	0	0	0	0	335	0	0	0	0	4019	2326	0	0	0	86	130	0	0	0	85	54	0	0	335	1055	1004	0	920	0	0	0	250	436	107	0	0
ASV_0092	262	0	0	0	4275	1232	351	18	4	0	0	115	0	0	269	7	30	0	1182	774	66	160	710	0	244	17	532	435	17	959	291	9	0	0	0	0	11	0	138	284	0	0	0
ASV_0093	536	0	0	14	2215	791	185	0	0	0	0	361	0	0	77	0	33	0	2697	2540	0	110	1605	0	0	0	0	0	0	0	505	0	0	0	0	0	0	0	317	124	0	52	94
ASV_0094	169	0	26	43	0	0	0	0	0	0	14	167	141	0	195	0	0	14	27	67	55	45	96	0	0	0	0	0	12	0	164	4792	5989	0	0	0	0	0	156	0	0	0	0
ASV_0095	1257	441	23	0	69	0	230	0	0	23	31	734	352	0	547	5399	68	43	0	0	216	360	230	0	0	0	0	0	0	0	907	0	10	0	119	0	0	0	713	342	0	0	47
ASV_0096	74	0	5354	4835	38	0	96	0	0	0	313	49	554	386	102	0	54	0	0	0	0	0	44	0	0	0	0	0	8	0	46	20	18	0	0	0	0	0	40	58	10	0	0
ASV_0097	820	122	125	51	35	76	0	7	4	30	0	569	0	0	130	18	1502	3594	59	18	67	152	249	0	929	106	56	0	0	121	590	347	506	80	375	0	0	47	511	591	75	24	0
ASV_0098	296	0	0	0	6331	1675	368	3	14	0	249	89	0	105	255	2	0	0	0	0	243	47	59	0	0	0	0	0	0	0	143	1075	509	0	0	0	0	0	212	241	0	0	0
ASV_0099	471	0	0	0	0	0	87	0	63	44	0	203	0	0	72	0	6106	3381	0	0	56	113	69	0	0	0	0	0	0	0	298	0	0	0	0	0	0	0	237	400	0	20	31
ASV_0100	856	0	0	0	0	0	191	0	0	0	0	550	0	0	0	0	2752	4965	37	0	123	267	233	0	0	0	0	0	0	0	738	0	0	0	132	0	0	0	533	264	0	0	0
